,x,Time Stamp
237,17094,1975-10-31
238,15418,1975-11-30
239,14312,1975-12-31
240,13260,1976-01-31
241,14990,1976-02-29
242,15975,1976-03-31
243,16770,1976-04-30
244,19819,1976-05-31
245,20983,1976-06-30
246,22001,1976-07-31
247,22337,1976-08-31
248,20750,1976-09-30
249,19969,1976-10-31
250,17293,1976-11-30
251,16498,1976-12-31
252,15117,1977-01-31
253,16058,1977-02-28
254,18137,1977-03-31
255,18471,1977-04-30
256,21398,1977-05-31
257,23854,1977-06-30
258,26025,1977-07-31
259,25479,1977-08-31
260,22804,1977-09-30
261,19619,1977-10-31
262,19627,1977-11-30
263,18488,1977-12-31
264,17243,1978-01-31
265,18284,1978-02-28
266,20226,1978-03-31
267,20903,1978-04-30
268,23768,1978-05-31
269,26323,1978-06-30
270,28038,1978-07-31
271,26776,1978-08-31
272,22886,1978-09-30
273,22813,1978-10-31
274,22404,1978-11-30
275,19795,1978-12-31
276,18839,1979-01-31
277,18892,1979-02-28
278,20823,1979-03-31
279,22212,1979-04-30
280,25076,1979-05-31
281,26884,1979-06-30
282,30611,1979-07-31
283,30228,1979-08-31
284,26762,1979-09-30
285,25885,1979-10-31
286,23328,1979-11-30
287,21930,1979-12-31
288,21433,1980-01-31
289,22369,1980-02-29
290,24503,1980-03-31
291,25905,1980-04-30
292,30605,1980-05-31
293,34984,1980-06-30
294,37060,1980-07-31
295,34502,1980-08-31
296,31793,1980-09-30
297,29275,1980-10-31
298,28305,1980-11-30
299,25248,1980-12-31
300,27730,1981-01-31
301,27424,1981-02-28
302,32684,1981-03-31
303,31366,1981-04-30
304,37459,1981-05-31
305,41060,1981-06-30
306,43558,1981-07-31
307,42398,1981-08-31
308,33827,1981-09-30
309,34962,1981-10-31
310,33480,1981-11-30
311,32445,1981-12-31
312,30715,1982-01-31
313,30400,1982-02-28
314,31451,1982-03-31
315,31306,1982-04-30
316,40592,1982-05-31
317,44133,1982-06-30
318,47387,1982-07-31
319,41310,1982-08-31
320,37913,1982-09-30
321,34355,1982-10-31
322,34607,1982-11-30
323,28729,1982-12-31
324,26138,1983-01-31
325,30745,1983-02-28
326,35018,1983-03-31
327,34549,1983-04-30
328,40980,1983-05-31
329,42869,1983-06-30
330,45022,1983-07-31
331,40387,1983-08-31
332,38180,1983-09-30
333,38608,1983-10-31
334,35308,1983-11-30
335,30234,1983-12-31
336,28801,1984-01-31
337,33034,1984-02-29
338,35294,1984-03-31
339,33181,1984-04-30
340,40797,1984-05-31
341,42355,1984-06-30
342,46098,1984-07-31
343,42430,1984-08-31
344,41851,1984-09-30
345,39331,1984-10-31
346,37328,1984-11-30
347,34514,1984-12-31
348,32494,1985-01-31
349,33308,1985-02-28
350,36805,1985-03-31
351,34221,1985-04-30
352,41020,1985-05-31
353,44350,1985-06-30
354,46173,1985-07-31
355,44435,1985-08-31
356,40943,1985-09-30
357,39269,1985-10-31
358,35901,1985-11-30
359,32142,1985-12-31
360,31239,1986-01-31
361,32261,1986-02-28
362,34951,1986-03-31
363,38109,1986-04-30
364,43168,1986-05-31
365,45547,1986-06-30
366,49568,1986-07-31
367,45387,1986-08-31
368,41805,1986-09-30
369,41281,1986-10-31
370,36068,1986-11-30
371,34879,1986-12-31
372,32791,1987-01-31
373,34206,1987-02-28
374,39128,1987-03-31
375,40249,1987-04-30
376,43519,1987-05-31
377,46137,1987-06-30
378,56709,1987-07-31
379,52306,1987-08-31
380,49397,1987-09-30
381,45500,1987-10-31
382,39857,1987-11-30
383,37958,1987-12-31
384,35567,1988-01-31
385,37696,1988-02-29
386,42319,1988-03-31
387,39137,1988-04-30
388,47062,1988-05-31
389,50610,1988-06-30
390,54457,1988-07-31
391,54435,1988-08-31
392,48516,1988-09-30
393,43225,1988-10-31
394,42155,1988-11-30
395,39995,1988-12-31
396,37541,1989-01-31
397,37277,1989-02-28
398,41778,1989-03-31
399,41666,1989-04-30
400,49616,1989-05-31
401,57793,1989-06-30
402,61884,1989-07-31
403,62400,1989-08-31
404,50820,1989-09-30
405,51116,1989-10-31
406,45731,1989-11-30
407,42528,1989-12-31
408,40459,1990-01-31
409,40295,1990-02-28
410,44147,1990-03-31
411,42697,1990-04-30
412,52561,1990-05-31
413,56572,1990-06-30
414,56858,1990-07-31
415,58363,1990-08-31
416,45627,1990-09-30
417,45622,1990-10-31
418,41304,1990-11-30
419,36016,1990-12-31
420,35592,1991-01-31
421,35677,1991-02-28
422,39864,1991-03-31
423,41761,1991-04-30
424,50380,1991-05-31
425,49129,1991-06-30
426,55066,1991-07-31
427,55671,1991-08-31
428,49058,1991-09-30
429,44503,1991-10-31
430,42145,1991-11-30
431,38698,1991-12-31
432,38963,1992-01-31
433,38690,1992-02-29
434,39792,1992-03-31
435,42545,1992-04-30
436,50145,1992-05-31
437,58164,1992-06-30
438,59035,1992-07-31
439,59408,1992-08-31
440,55988,1992-09-30
441,47321,1992-10-31
442,42269,1992-11-30
443,39606,1992-12-31
444,37059,1993-01-31
445,37963,1993-02-28
446,31043,1993-03-31
447,41712,1993-04-30
448,50366,1993-05-31
449,56977,1993-06-30
450,56807,1993-07-31
451,54634,1993-08-31
452,51367,1993-09-30
453,48073,1993-10-31
454,46251,1993-11-30
455,43736,1993-12-31
456,39975,1994-01-31
457,40478,1994-02-28
458,46895,1994-03-31
459,46147,1994-04-30
460,55011,1994-05-31
461,57799,1994-06-30
462,62450,1994-07-31
463,63896,1994-08-31
464,57784,1994-09-30
465,53231,1994-10-31
466,50354,1994-11-30
467,38410,1994-12-31
468,41600,1995-01-31
469,41471,1995-02-28
470,46287,1995-03-31
471,49013,1995-04-30
472,56624,1995-05-31
473,61739,1995-06-30
474,66600,1995-07-31
475,60054,1995-08-31
